id;text;date;recipe_id
1;../fake-data/blob/hipster.txt;2023-03-30T02:33:12;1
2;../fake-data/blob/hipster.txt;2023-03-30T07:53:45;2
3;../fake-data/blob/hipster.txt;2023-03-30T09:33:04;3
4;../fake-data/blob/hipster.txt;2023-03-30T21:17:48;4
5;../fake-data/blob/hipster.txt;2023-03-30T09:10:44;5
6;../fake-data/blob/hipster.txt;2023-03-30T18:09:53;6
7;../fake-data/blob/hipster.txt;2023-03-30T19:16:15;7
8;../fake-data/blob/hipster.txt;2023-03-30T22:40:19;8
9;../fake-data/blob/hipster.txt;2023-03-30T11:15:16;9
10;../fake-data/blob/hipster.txt;2023-03-30T14:40:38;10
